FirmID,CostSysID,PACP,ACP,PDR,MPE
7,2,2,2,0,0.369670294
7,3,2,4,0,0.353489575
7,4,2,6,0,0.295738066
7,5,2,8,0,0.276956668
7,6,2,10,0,0.263827243
7,7,2,12,0,0.2256156
7,8,2,14,0,0.24475231
7,9,2,16,0,0.258320916
7,10,2,18,0,0.23952651
7,11,2,20,0,0.232906276
8,1,2,1,0,0.481289593
8,2,2,2,0,0.435097088
8,3,2,4,0,0.348213321
8,4,2,6,0,0.346603884
8,5,2,8,0,0.32284201
8,6,2,10,0,0.306273836
8,7,2,12,0,0.285392806
8,8,2,14,0,0.265068804
8,9,2,16,0,0.279765986
8,10,2,18,0,0.260113688
8,11,2,20,0,0.273830002
9,1,2,1,0,0.36551153
9,2,2,2,0,0.357301285
9,3,2,4,0,0.364956329
9,4,2,6,0,0.342609082
9,5,2,8,0,0.309154218
9,6,2,10,0,0.278784702
9,7,2,12,0,0.270799087
9,8,2,14,0,0.242427149
9,9,2,16,0,0.236333118
9,10,2,18,0,0.226864943
9,11,2,20,0,0.233870946
10,1,2,1,0,0.293679504
10,2,2,2,0,0.346854418
10,3,2,4,0,0.343698183
10,4,2,6,0,0.283277147
10,5,2,8,0,0.353375445
10,6,2,10,0,0.265516799
10,7,2,12,0,0.262688987
10,8,2,14,0,0.278019611
10,9,2,16,0,0.278722326
10,10,2,18,0,0.270713541
10,11,2,20,0,0.252193134
11,1,2,1,0,0.523930721
11,2,2,2,0,0.539010828
11,3,2,4,0,0.321188472
11,4,2,6,0,0.324587659
11,5,2,8,0,0.318593567
11,6,2,10,0,0.297710889
11,7,2,12,0,0.28553582
11,8,2,14,0,0.267326577
11,9,2,16,0,0.277126309
11,10,2,18,0,0.208501314
11,11,2,20,0,0.242781806
12,1,2,1,0,0.382496055
12,2,2,2,0,0.331336547
12,3,2,4,0,0.274633342
12,4,2,6,0,0.247553928
12,5,2,8,0,0.210812101
12,6,2,10,0,0.218678459
12,7,2,12,0,0.220516617
12,8,2,14,0,0.216139043
12,9,2,16,0,0.215988699
12,10,2,18,0,0.221874892
12,11,2,20,0,0.198635568
13,1,2,1,0,0.350736945
13,2,2,2,0,0.284924802
13,3,2,4,0,0.245655219
13,4,2,6,0,0.250054285
13,5,2,8,0,0.221632638
13,6,2,10,0,0.205803953
13,7,2,12,0,0.19690374
13,8,2,14,0,0.188372337
13,9,2,16,0,0.201328017
13,10,2,18,0,0.200568188
13,11,2,20,0,0.245893237
14,1,2,1,0,0.325746784
14,2,2,2,0,0.378843273
14,3,2,4,0,0.407438225
14,4,2,6,0,0.360040839
14,5,2,8,0,0.33533356
