FirmID,CostSysID,PACP,ACP,PDR,MPE
18,6,0,10,0,0.507464237
18,7,0,12,0,0.534830948
18,8,0,14,0,0.367377591
18,9,0,16,0,0.39388555
18,10,0,18,0,0.292531061
18,11,0,20,0,0.256936364
19,1,0,1,0,0.397122474
19,2,0,2,0,0.584806484
19,3,0,4,0,0.765549374
19,4,0,6,0,0.54830683
19,5,0,8,0,0.402007351
19,6,0,10,0,0.556632537
19,7,0,12,0,0.508449817
19,8,0,14,0,0.387618841
19,9,0,16,0,0.427152658
19,10,0,18,0,0.332440069
19,11,0,20,0,0.300243862
20,1,0,1,0,0.362929827
20,2,0,2,0,0.615440599
20,3,0,4,0,0.505388699
20,4,0,6,0,0.413833426
20,5,0,8,0,0.476057563
20,6,0,10,0,0.394304414
20,7,0,12,0,0.327701216
20,8,0,14,0,0.307289022
20,9,0,16,0,0.29853791
20,10,0,18,0,0.260452349
20,11,0,20,0,0.212211422
21,1,0,1,0,0.35098821
21,2,0,2,0,0.616855069
21,3,0,4,0,0.552454087
21,4,0,6,0,0.536854252
21,5,0,8,0,0.408054916
21,6,0,10,0,0.430156805
21,7,0,12,0,0.331082901
21,8,0,14,0,0.258337854
21,9,0,16,0,0.283519609
21,10,0,18,0,0.202742775
21,11,0,20,0,0.245607075
22,1,0,1,0,0.404279042
22,2,0,2,0,0.652680999
22,3,0,4,0,0.490985715
22,4,0,6,0,0.510212558
22,5,0,8,0,0.446300123
22,6,0,10,0,0.335549492
22,7,0,12,0,0.30727858
22,8,0,14,0,0.302692605
22,9,0,16,0,0.322830008
22,10,0,18,0,0.315469577
22,11,0,20,0,0.191022115
23,1,0,1,0,0.535012151
23,2,0,2,0,0.707199725
23,3,0,4,0,0.709894526
23,4,0,6,0,0.697773394
23,5,0,8,0,0.611087892
23,6,0,10,0,0.469094006
23,7,0,12,0,0.501481016
23,8,0,14,0,0.505927351
23,9,0,16,0,0.440119759
23,10,0,18,0,0.417416362
23,11,0,20,0,0.266990471
24,1,0,1,0,0.434156595
